Periodos, Exportaciones_Trimestrales_SLP
2007/01,1104292
2007/02,1223635
2007/03,1201496
2007/04,1258845
2008/01,1181880
2008/02,1221155
2008/03,1173843
2008/04,952065
2009/01,779014
2009/02,808420
2009/03,929447
2009/04,1042224
2010/01,1042238
2010/02,1188233
2010/03,1258903
2010/04,1336237
2011/01,1360092
2011/02,1479204
2011/03,1471696
2011/04,1444606
2012/01,1611681
2012/02,1843188
2012/03,1842922
2012/04,1926623
2013/01,1823441
2013/02,2024195
2013/03,2100374
2013/04,2274827
2014/01,2106418
2014/02,2370914
2014/03,2466739
2014/04,2572341
2015/01,2221556
2015/02,2484396
2015/03,2739256
2015/04,2631244
2016/01,2357279
2016/02,2930655
2016/03,2849743
2016/04,2794968
2017/01,2767846
2017/02,3215517
2017/03,3400281
2017/04,3780765
2018/01,3462181
2018/02,3683973
2018/03,3828246
2018/04,3597579
2019/01,3398006
2019/02,3518169
2019/03,3666572
2019/04,3976953
2020/01,3423114
2020/02,1817346
2020/03,4071811
2020/04,4116565
2021/01,3204293
2021/02,3902145
2021/03,3282344
2021/04,3489733
2022/01,3914576
2022/02,4668303
2022/03,4390117
2022/04,4827619
2023/01,5045237
2023/02,5307680
2023/03,6218422
2023/04,6350941
2024/01,5721530
2024/02,5954895
2024/03,5482467
2024/04,6203158
2025/01,6041300
2025/02,6424974
2025/03,6858781
2025/04,6771387
